#DataThief C:\Users\Keisuke\Google Drive\0 Paper\14 Modeling Crocosphaera\Data\02 Grobkopf\CNcell.PNG Thursday 21-Jun-2018 8:43:36 AM						
0	5.2993	5.9518	4.6497	0.6525	0.6496	0.0029
3	5.7484	6.0178	5.4764	0.2694	0.272	-0.0026
6	6.8392	7.0848	6.5883	0.2456	0.2509	-0.0053
9	8.7884	8.9178	8.6722	0.1294	0.1162	0.0132
12	9.6494	10.3123	9.0076	0.6629	0.6418	0.0211
15	8.6616	8.8437	8.4635	0.1821	0.1981	-0.016
18	7.0796	7.4097	6.7706	0.3301	0.309	0.0211
21	6.2318	6.6147	5.8329	0.3829	0.3989	-0.016
24	6.0416	6.5989	5.4738	0.5573	0.5678	-0.0105
