#DataThief C:\Users\Keisuke\Google Drive\0 Paper\14 Modeling Crocosphaera\Data\02 Grobkopf\O2flux.PNG Thursday 21-Jun-2018 3:17:45 PM						
0	3.2545	4.1576	2.3685	0.9031	0.886	0.0171
3	1.2496	2.4707	0.0682	1.2211	1.1814	0.0397
6	0.8122	2.2719	x	1.4597	0	x
9	2.4934	3.016	2.005	0.5226	0.4884	0.0342
12	3.76	5.2027	2.3401	1.4427	1.4199	0.0228
15	9.0763	10.377	7.7529	1.3007	1.3234	-0.0227
18	11.3085	12.1377	10.502	0.8292	0.8065	0.0227
21	7.6734	9.7181	5.64	2.0447	2.0334	0.0113
24	6.1285	6.6794	5.5434	0.5509	0.5851	-0.0342
