#DataThief C:\Users\Keisuke\Google Drive\0 Paper\14 Modeling Crocosphaera\Data\02 Grobkopf\O2flux.PNG Thursday 21-Jun-2018 10:43:51 AM						
0	8.0426	8.5822	7.4973	0.5396	0.5453	-0.0057
3	8.6617	10.7121	6.6282	2.0504	2.0335	0.0169
6	13.1771	15.4093	10.9449	2.2322	2.2322	0
9	12.0128	12.6886	11.3596	0.6758	0.6532	0.0226
12	6.5488	9.1672	3.9475	2.6184	2.6013	0.0171
15	1.863	2.7206	1.0224	0.8576	0.8406	0.017
18	1.3007	2.8626	x	1.5619	0	x
21	4.3223	6.1626	2.499	1.8403	1.8233	0.017
24	6.7703	7.5996	5.9695	0.8293	0.8008	0.0285
