#DataThief C:\Users\Keisuke\Google Drive\0 Paper\14 Modeling Crocosphaera\Data\02 Grobkopf\CNcell.PNG Thursday 21-Jun-2018 8:20:12 AM						
0	5.796	6.0442	5.5451	0.2482	0.2509	-0.0027
3	6.5302	6.7706	6.3136	0.2404	0.2166	0.0238
6	7.8904	8.2073	7.5603	0.3169	0.3301	-0.0132
9	9.3087	9.8052	8.8254	0.4965	0.4833	0.0132
12	10.5394	11.2894	9.7841	0.75	0.7553	-0.0053
15	9.3562	9.9082	8.7936	0.552	0.5626	-0.0106
18	6.7415	7.312	6.1789	0.5705	0.5626	0.0079
21	5.3126	5.4764	5.1595	0.1638	0.1531	0.0107
24	5.0485	5.1938	4.9138	0.1453	0.1347	0.0106
