#DataThief C:\Users\Keisuke\Google Drive\0 Paper\14 Modeling Crocosphaera\Data\02 Grobkopf\Ccell.PNG Wednesday 20-Jun-2018 4:00:41 PM					
0.00E+00	148.9539	156.4449	141.5356	7.491	7.4183
3	159.5806	167.6533	151.4351	8.0727	8.1455
6	184.4618	190.8618	177.6254	6.4	6.8364
9	223.1611	228.1065	218.5792	4.9454	4.5819
12	253.4241	277.3513	229.7877	23.9272	23.6364
15	219.6871	229.3598	209.5053	9.6727	10.1818
18	195.7683	199.9137	191.6228	4.1454	4.1455
21	182.6131	188.8677	177.1586	6.2546	5.4545
24	176.2943	185.5306	167.3488	9.2363	8.9455
