#DataThief C:\Users\Keisuke\Google Drive\0 Paper\14 Modeling Crocosphaera\Data\02 Grobkopf\O2flux.PNG Thursday 21-Jun-2018 3:24:30 PM						
0	1.5165	1.8119	1.2723	0.2954	0.2442	0.0512
3	1.7551	1.9708	1.5449	0.2157	0.2102	0.0055
6	1.2551	1.6812	0.869	0.4261	0.3861	0.04
9	1.596	1.7551	1.3801	0.1591	0.2159	-0.0568
12	2.039	2.5332	1.5506	0.4942	0.4884	0.0058
15	3.8736	4.5438	3.1807	0.6702	0.6929	-0.0227
18	4.0781	4.5666	3.6067	0.4885	0.4714	0.0171
21	3.0501	3.885	2.1867	0.8349	0.8634	-0.0285
24	1.6244	1.9255	1.3007	0.3011	0.3237	-0.0226
